Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1012,1.4293872794351081,0.10047016352624286,9.455013047918007,0.9336995434951076,1.4851002488162033,30.200965418972334,1.089024,284.616659,14.123908499999999,40.95972440208638,16.715415019762847,2,95,13.0,12.532530944508615,1.8067732917947505
Junior hacker,1403,1.7567946732865367,0.1,10.0,1.1964285714285714,1.7661184080379906,26.434069850320743,1.0,294.0,11.0,39.5530183870253,21.333570919458303,2,96,14.0,20.74830293680114,1.239083224750259
Junior hacker adaptive,3398,1.4463597375955028,0.10005503026664665,9.97340425531915,1.0611965735035072,1.3953167409482998,26.71564626250736,1.0,296.017,10.088999999999999,39.019386320555284,17.57563272513243,2,97,11.0,17.813891362097024,1.5200389471216638
Kobylka 3302,2631,1.5929930666547496,0.1002076302097947,10.0,1.0326115507669915,1.6447308429754268,28.332921049790954,1.0,273.897856,14.683252,36.85121675492862,19.11744583808438,2,96,15.0,15.741334863462576,1.4820453155592668
SQL injection,123,1.1170823363714666,0.10201999591920016,7.642799678197908,0.6663334999167083,1.2680099633673692,60.83015447154471,1.769,278.87,40.197,63.343406654059244,31.308943089430894,2,100,34.0,21.251472497218007,1.9429002856400934
Secret laboratory,964,1.4148455619014477,0.10056821038869614,9.989074449820508,0.855073926057857,1.623446630255004,32.458157290456434,1.0,245.916,15.7745,42.08671169403481,17.850622406639005,2,87,15.0,14.456311151701314,1.818320759414226
Webmin exploit practice,658,1.1875624899552375,0.1005106695844914,9.771242019932277,0.7711906575784904,1.3085458201310807,33.86149517021276,1.03372,267.532621,15.126742,43.84032277938565,18.322188449848024,2,94,13.0,16.630632097744236,1.8481141192767085
