sample,sessions_raw,sessions_after_tukey_time,sessions_final_two_layer,pairs_raw,pairs_after_tukey_time,pairs_final_two_layer,sessions_removed_by_spc,pairs_retained_after_time_%,pairs_retained_final_%,sessions_retained_after_time_%,sessions_retained_final_%
House of cards,22,22,22,1239,1084,1084,0.0,87.48991121872477,87.48991121872477,100.0,100.0
Junior hacker,18,18,18,1662,1457,1457,0.0,87.66546329723225,87.66546329723225,100.0,100.0
Junior hacker adaptive,58,58,56,4093,3635,3596,2.0,88.81016369411189,87.85731737112143,100.0,96.55172413793103
Kobylka 3302,46,46,44,3491,3074,3004,2.0,88.05499856774563,86.04984245201948,100.0,95.65217391304348
SQL injection,8,8,4,170,152,120,4.0,89.41176470588235,70.58823529411765,100.0,50.0
Secret laboratory,13,13,13,1235,1095,1095,0.0,88.66396761133603,88.66396761133603,100.0,100.0
Webmin exploit practice,10,10,9,814,730,670,1.0,89.68058968058968,82.30958230958231,100.0,90.0
