Sample,Sandbox ID,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
Junior hacker adaptive,107,46,2.216899307527631,0.10621348911311737,9.607993850883936,1.668882530690953,1.9691787717321019,18.05078260869565,0.785,103.565,5.2295,25.79819193915474,16.23913043478261,2,63,11.0,15.166021645783923,1.111560910307898
Junior hacker adaptive,11,51,1.0146220145643905,0.03907242073182644,3.1992244304411055,0.8371703641691085,0.8124853812060339,28.040843137254903,2.029,122.074,13.253,33.67373170254378,13.058823529411764,2,60,8.0,11.536744366944918,2.1472717717717718
Junior hacker adaptive,12,66,0.837971315132337,0.018641413764819925,3.857061826432218,0.6759285110164648,0.6886672553706906,38.09934848484849,1.476,126.797,25.766,34.72823813666179,19.424242424242426,2,60,17.0,15.223524918878379,1.961432917316693
Junior hacker adaptive,120,63,3.0282068665731607,0.02453746871472739,34.701857282502445,1.3812154696132597,5.147999388358963,19.194841269841273,0.624,108.671,7.359,25.307690419346745,19.73015873015873,2,71,13.0,19.062889424224355,0.9728680611423977
Junior hacker adaptive,121,46,1.7587176715775175,0.042784409361228765,12.035903712770297,1.2752209066269855,2.179518879037559,26.81730434782609,2.42,124.78,13.74,27.258154986775825,24.217391304347824,2,64,17.5,20.56416845278674,1.107357271095153
Junior hacker adaptive,122,91,287.64976639982024,0.019222267074178727,15000.0,1.6045374827418935,1939.2755413397654,22.52028571428572,0.001,121.135,8.504,30.5550249841843,17.54945054945055,2,57,12.0,17.178968883986368,1.2832473387601757
Junior hacker adaptive,123,73,1.040179701232278,0.04472471935238606,3.657978966620942,0.9528851244044467,0.7188362697809082,15.994575342465756,0.998,105.551,7.6,21.037151369606033,10.863013698630137,2,60,5.0,13.85170975055782,1.4723883984867594
Junior hacker adaptive,13,103,62.60155507356666,0.0566944847605225,4333.333333333333,1.1547344110854503,448.3194324296758,19.98701941747573,0.003,113.377,8.388,24.565048808027957,19.436893203883496,2,92,13.0,19.44760174886869,1.0283031968031968
Junior hacker adaptive,14,56,0.8933194536273318,0.03140802160871887,3.2223415682062297,0.8589640982949338,0.6933002709197437,21.413589285714288,1.743,95.517,9.0445,24.18025210995481,12.321428571428571,2,67,5.0,14.359168300626408,1.7379144927536232
Junior hacker adaptive,15,51,1.24399004134602,0.04582447393503923,5.668556185395132,0.8509796160696615,1.2320063138201776,33.75033333333334,1.281,125.489,17.205,37.40731377560632,15.372549019607844,2,51,9.0,14.284202160868103,2.19549362244898
Junior hacker adaptive,16,55,1.178531734495527,0.02439262367060201,4.970178926441352,1.0633772862611655,0.9201616794631341,25.773509090909094,1.197,107.651,8.079,30.261909597938537,17.072727272727274,2,59,7.0,19.721068397035154,1.5096304579339725
Junior hacker adaptive,17,34,1.0876676113503578,0.016070711128967456,3.189668585654271,0.7430818978885911,0.9286292021277938,43.821705882352944,3.254,124.45,27.561999999999998,39.75528218727244,30.264705882352942,2,65,37.5,21.899645525745335,1.4479475218658893
Junior hacker adaptive,25,46,1.1379322413923254,0.046900795437490615,3.875968992248062,0.9059711109163717,0.8825183274779799,24.059804347826088,1.208,121.459,6.9435,33.69702824722386,13.108695652173912,2,71,5.0,16.947275442605402,1.835407960199005
Junior hacker adaptive,27,59,1.9748450924248304,0.027337716480542378,8.712319219376198,1.390691637307621,1.7307868632092405,14.236525423728814,0.455,76.803,6.227,18.4607291290943,13.169491525423728,2,54,8.0,13.732860844644687,1.0810231660231662
Junior hacker adaptive,28,67,1.2650476775054718,0.01567189324306323,7.849978194505015,1.0767574219350868,1.2394972561608886,27.450029850746265,1.043,127.617,12.698,32.79531626202693,17.134328358208954,2,66,10.0,18.48414187022016,1.6020487804878047
Junior hacker adaptive,29,29,1.0042084348613751,0.01759819794453048,2.7303754266211606,0.8733624454148472,0.7074593546375291,23.236931034482755,1.939,113.648,8.906,31.154970996307927,13.482758620689655,2,62,5.0,16.577998952258493,1.7234552429667516
Junior hacker adaptive,30,58,1.7670915990929459,0.016584297986666222,15.978695073235686,1.1972022893700704,2.2795610575075753,21.89965517241379,0.755,120.596,10.1725,29.747503183181507,15.810344827586206,2,60,12.0,15.4379992528708,1.3851472191930205
Junior hacker adaptive,31,51,1.8539416740107129,0.04114176629831072,14.360313315926893,0.9033903709214581,2.7913525462375364,31.731980392156867,1.999,128.291,19.269,34.021449848288476,22.96078431372549,2,62,17.0,20.733509866217755,1.382007685738685
Junior hacker adaptive,32,85,44.161575709012155,0.02329861839192936,3666.6666666666665,0.7499829549328424,397.5942936281149,26.437800000000003,0.003,128.056,14.667,29.771377941621335,15.329411764705883,2,59,6.0,17.370190828305965,1.7246454336147354
Junior hacker adaptive,33,147,12.543243972752377,0.015409745122815668,157.89473684210526,2.3612070951393687,34.03697827694242,14.820068027210885,0.19,129.788,6.08,24.810924306729177,16.829931972789115,2,64,12.0,14.717138527366547,0.8805780113177042
Junior hacker adaptive,34,64,2.0892988460651822,0.12055678688342158,29.41176470588235,1.443323652186586,3.7707093370976072,20.073859375,0.535,108.037,5.3665,29.53540325051254,15.328125,2,62,8.0,17.53369064229441,1.3096095820591234
Junior hacker adaptive,35,66,2.5631198560167476,0.1081548777849881,9.070294784580499,2.058563564396014,2.200218010278932,16.397166666666667,0.412,126.352,4.154,25.95665637563059,14.757575757575758,2,61,8.0,15.612677891883601,1.1111016427104723
Junior hacker adaptive,36,31,1.942656617690451,0.0580130529369108,6.2157221206581355,1.3635800173546548,1.690253274076991,24.49583870967742,0.331,126.529,9.491,29.656457118247484,22.838709677419356,2,68,12.0,22.05462426823235,1.07255790960452
Junior hacker adaptive,37,83,1.5047478482558503,0.050432203988178693,28.846153846153847,0.6771244780498814,3.2950602394406334,38.66801204819277,0.208,126.311,23.319,34.54085763107362,26.265060240963855,2,86,18.0,25.467379583737713,1.4722224770642203
Junior hacker adaptive,38,45,2.3825427466933995,0.10158265780865891,20.470829068577277,1.240454316393379,3.316993940431405,21.273888888888887,0.308,91.795,12.095,23.211601929777803,21.244444444444444,2,60,16.0,16.470573699170227,1.0013859832635983
Junior hacker adaptive,39,121,1.8678109628254291,0.02704018171002109,10.252237591537837,1.2853470437017995,1.880141548333636,22.108322314049587,0.612,129.899,9.492,29.059998075594933,18.305785123966942,2,69,8.0,20.13406854695403,1.207723250564334
Junior hacker adaptive,40,120,2.08820039081655,0.02332062359347489,6.8965517241379315,1.9295796494493564,1.505716244020783,14.121466666666665,0.499,118.617,3.5275,25.260876243121654,10.766666666666667,2,63,6.0,12.415586120336188,1.3115913312693497
Junior hacker adaptive,41,35,1.176613784116532,0.0184335195118804,4.68110005851375,0.6235846269979323,1.2271160759972886,33.74931428571429,1.04,122.442,21.548,33.4057346712766,17.0,2,61,13.0,15.605428919600572,1.9852537815126052
Junior hacker adaptive,42,29,0.7400655651797732,0.034449497037343256,2.3757544625658147,0.5527247603419985,0.6428753602808208,41.365344827586206,2.488,128.204,22.925,42.987538388032426,20.75862068965517,2,74,6.0,24.870601078975884,1.9926827242524918
Junior hacker adaptive,43,34,2.282517550753443,0.02417327402823438,8.928571428571429,1.4703850177389546,2.2544363951680335,21.438352941176472,0.474,82.736,16.256999999999998,22.13556540116456,20.764705882352942,2,53,13.0,15.568147013245508,1.032441926345609
Junior hacker adaptive,44,67,1.9057755767180014,0.06691723453375417,8.603238866396762,1.5527950310559007,1.4874109503703656,16.4509104477612,0.466,124.897,4.602,24.870919714526124,13.522388059701493,2,48,10.0,14.288539812323025,1.216568432671082
Junior hacker adaptive,45,113,25.65131634572645,0.01672031099778456,2000.0,1.6263273701329763,198.011391868306,20.338823008849555,0.001,127.356,8.387,29.722750214100692,14.628318584070797,2,52,12.0,12.81892761440333,1.390373260738052
Junior hacker adaptive,59,71,85.79941976944073,0.024326165223314197,6000.0,1.1423088346165269,711.9143841545686,20.142098591549292,0.001,120.121,7.627,26.38537192577678,11.577464788732394,2,51,6.0,13.710957007164524,1.739767639902676
Junior hacker adaptive,61,62,0.8157248197517227,0.04039457420079335,3.5113657364627615,0.6116785986965263,0.7276086482098927,43.80443548387096,3.602,124.476,30.8495,37.22657670272632,21.112903225806452,3,69,13.0,17.96727885534955,2.074770817417876
Junior hacker adaptive,62,75,0.9600677055326035,0.02276271012826787,3.643540306664643,0.7723569760385444,0.8154211733496033,24.49372,0.974,118.098,11.943,28.740557031390235,13.36,2,84,6.0,17.64181151451045,1.8333622754491017
Junior hacker adaptive,63,98,0.9079110235089567,0.051939957409234926,6.451612903225807,0.7063318363368052,0.8366974578993438,21.596367346938774,1.366,111.534,9.160499999999999,26.681366265650816,12.63265306122449,2,68,5.0,16.175192763300814,1.7095670436187398
Junior hacker adaptive,64,48,1.305913335504436,0.05402777027392079,3.7099003418927765,1.028278381934638,1.0440757568984413,20.572479166666664,0.655,128.913,8.9665,28.470639347415794,11.229166666666666,2,54,6.0,13.263675533293261,1.8320575139146567
Junior hacker adaptive,65,110,1.7293961939598463,0.020561112767422972,8.85608856088561,1.5736693133942603,1.4073812724253936,17.616400000000002,0.73,128.55,5.8580000000000005,26.497048419735325,14.136363636363637,2,80,7.5,16.724139161470866,1.2461762057877817
Junior hacker adaptive,66,125,1.4367711456600945,0.01934011526708699,6.564551422319474,1.2195121951219512,1.1294120660809785,17.993488000000003,0.603,120.459,5.57,26.211108045283936,11.328,2,62,6.0,14.341332101712618,1.5884081920903956
Junior hacker adaptive,67,129,1.5591851553742306,0.020830729492146816,6.5047701647875105,1.5015015015015014,1.118668971051291,15.44020930232558,0.483,128.991,3.935,27.30815865974009,9.581395348837209,2,63,5.0,13.301020681240622,1.6114781553398059
Junior hacker adaptive,68,34,1818.4606813399587,0.04096849522717031,17000.0,3.5459120824974484,4167.057752188193,11.783441176470587,0.001,83.03,1.0614999999999999,22.09008461675108,8.441176470588236,2,48,5.0,10.935599847677333,1.3959477351916374
Junior hacker adaptive,69,15,4378.385020271136,0.061100685200541176,18000.0,1.6233766233766234,6865.496701874021,20.046066666666665,0.001,114.565,2.054,34.51991357890744,12.4,2,25,11.0,7.47185194102315,1.6166182795698922
Junior hacker adaptive,70,4,13000.098808220844,0.39523288337589685,21000.0,15500.0,9486.65244896198,8.22375,0.001,32.892,0.001,16.445500000000003,16.25,12,21,16.0,4.425306015783918,0.5060769230769231
Junior hacker adaptive,71,29,3639.106394174257,0.02673439379762064,33000.0,1.9388516032811334,8693.594325141901,19.2483448275862,0.001,112.215,7.891,29.034718775577062,19.03448275862069,2,55,15.0,15.148037964937643,1.0112355072463766
Junior hacker adaptive,72,13,2.3233549909352016,0.1592211809662451,5.065856129685917,1.53576129881527,1.893326685427763,9.628538461538463,0.409,43.964,4.308,14.338565360682503,7.6923076923076925,2,18,6.0,5.864932727443333,1.25171
Junior hacker adaptive,73,11,2454.9111056010674,0.013029825270043129,19000.0,0.383288616328095,5989.2197344617325,30.056727272727276,0.001,78.134,26.799,30.03359909864587,7.363636363636363,1,19,2.0,7.365768490425522,4.081777777777778
Junior hacker adaptive,74,132,1.801975904533415,0.019157271621375684,7.764609726195341,1.6975652665376293,1.403777161536815,11.680363636363637,0.557,114.092,3.0915,21.975245028212207,7.871212121212121,2,85,5.0,10.515278090887893,1.4839345524542829
