Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1040,19.602751298068718,0.0242023785468374,3721.188558733685,0.9610944655316624,199.57042094232645,25.6201089875,0.015344,129.696507,13.619286500000001,29.38544840503301,16.375,1,163,13.0,13.77754481383417,1.5645868083969467
Junior hacker,1476,2.1260336654182552,0.016,64.0,1.2,3.477922285661856,23.48170731707317,1.0,129.0,11.0,28.91367052307594,20.37872628726287,1,96,13.0,20.569407792953765,1.152265700322484
Junior hacker adaptive,3709,126.27172085670216,0.008923153799478887,55000.0,1.1225864391558151,1680.619252464225,22.86513669452682,0.001,129.899,8.967,29.60996863978233,15.700727959018604,1,97,9.0,17.183066349086115,1.4563106089226223
Kobylka 3302,3091,184.2891899982556,0.015408195019552115,37735.84905660377,1.2352941176470589,1232.9959751029821,23.2806361268198,0.00032,129.801057,11.697481,28.087709332518394,21.18084762212876,1,1049,14.0,32.71144760766095,1.0991361886054682
SQL injection,117,1.2612210325853184,0.02592912705272256,11.946729338033686,0.8682493612165414,1.630317595975012,43.82995726495727,1.769,123.85,29.033,36.52540485871423,28.34188034188034,2,103,21.0,23.099172396416105,1.5464731604342583
Secret laboratory,1067,29.015929538502903,0.016121621512691746,7000.0,0.8982484155896002,344.2602893035615,27.81840974133083,0.001,129.226,14.614,31.184654209948516,17.47328959700094,1,754,13.0,33.21000308110229,1.592053378781377
Webmin exploit practice,698,1.2142698682096937,0.017200922444188468,19.427608438810942,0.7527644438993167,1.5864881282720187,30.352549882521487,0.589633,129.110312,16.1978785,32.1262562570083,16.73925501432665,2,108,12.0,16.7989437570455,1.8132557187606984
