sample,sandbox_id,n_pairs,session_start,session_end,mean_ts,median_ts,std_ts,min_ts,max_ts,mean_dt,median_dt,std_dt,min_dt,max_dt,mean_len,median_len,std_len,min_len,max_len,mean_spc_pairs,median_spc_pairs,std_spc_pairs,session_duration_s,total_time_diff,total_cmd_len,avg_time_per_char,mean_spc,median_spc,std_spc,mean_cps,std_cps
House of cards,101,17,2019-09-26 09:23:29.156399+00:00,2019-09-26 09:45:21.121167+00:00,0.7194560067080318,0.5225277383849921,0.5506972700437349,0.0242023785468374,1.6877779559321175,33.76757076470588,24.295517,32.521158158388545,1.777485,123.954759,13.0,12.0,10.828203913853857,3,45,5.00446162309316,1.913774,9.881816450717697,1311.964768,574.0487029999999,221,2.5975054434389135,5.00446162309316,1.913774,9.881816450717697,0.7194560067080318,0.5506972700437349
House of cards,112,51,2019-09-19 10:29:48.517813+00:00,2019-09-22 11:05:25.796859+00:00,0.8504266252266134,0.39973021243097007,0.9620875872241682,0.05626395310872126,3.5919232566255097,47.67867764705883,33.280292,47.54203052283304,1.960646,197.890915,15.294117647058824,12.0,9.56513275944889,3,44,3.3549248685191975,2.501687310344827,3.570036588329606,261337.279046,2431.61256,780,3.117452,3.3549248685191975,2.501687310344827,3.570036588329606,0.8504266252266134,0.9620875872241682
House of cards,113,19,2019-09-19 10:31:30.503032+00:00,2019-09-19 11:14:07.573895+00:00,1.0641241177013414,0.487821047531795,1.57177107329483,0.03751636839152922,6.299182838506274,53.63292705263158,40.998641,53.11743541515676,1.578051,159.930192,16.736842105263158,19.0,10.592670973959924,3,44,4.3025796583699405,2.04993205,6.487993264332501,2557.070863,1019.025614,318,3.2044830628930816,4.3025796583699405,2.04993205,6.487993264332501,1.0641241177013414,1.57177107329483
House of cards,115,20,2019-09-19 10:35:24.276798+00:00,2019-09-22 15:12:17.312978+00:00,0.3127484266936657,0.17798201000510733,0.403228724583071,0.02420973065916877,1.7797992701933092,103.45914215,51.8128085,103.6558804025135,8.808653,413.057053,13.85,12.5,9.460583046458996,3,44,9.6466951757505,5.662631961538461,11.260089372973361,275813.03618,2069.182843,277,7.469974162454874,9.6466951757505,5.662631961538461,11.260089372973361,0.3127484266936657,0.403228724583071
House of cards,116,32,2019-09-19 10:40:20.613699+00:00,2019-09-19 11:14:36.466324+00:00,0.7547380806159888,0.45035260742148064,0.7173109088876854,0.014174351200611723,2.5999288052828824,64.24539453125,29.737357000000003,72.34943449305152,1.288221,219.147936,14.34375,12.0,10.54211025884654,3,54,6.326626284458442,2.2205038620689654,12.900178823070526,2055.852625,2055.852625,459,4.478981753812636,6.326626284458442,2.2205038620689654,12.900178823070526,0.7547380806159888,0.7173109088876854
House of cards,130,30,2019-09-19 10:30:36.203948+00:00,2019-09-23 18:39:39.578153+00:00,0.7288788910035968,0.4076276080427267,0.8057698168031932,0.019799533093350453,3.5478092425752483,52.83527646666666,33.250653,55.658290996864764,1.261143,202.024966,12.866666666666667,12.0,9.224156192913494,2,35,5.450434782883457,2.46100055,9.188550034123587,374943.374205,1585.058294,386,4.1063686373057,5.450434782883457,2.46100055,9.188550034123587,0.7288788910035968,0.8057698168031932
House of cards,131,37,2019-09-19 10:39:54.164014+00:00,2019-09-19 11:26:15.679026+00:00,0.9502513049943087,0.624701184600033,1.0619434442821873,0.03396980966286777,3.6833271739917817,66.86813416216215,29.464894,81.7337256869304,2.443443,286.284024,15.91891891891892,17.0,8.420802212966999,4,44,4.772398829129916,1.6007653333333332,6.489421724767697,2781.515012,2474.1209639999997,589,4.200544930390492,4.772398829129916,1.6007653333333332,6.489421724767697,0.9502513049943087,1.0619434442821873
House of cards,137,26,2019-09-19 10:31:51.195656+00:00,2019-09-23 19:35:37.519489+00:00,0.669271269555983,0.3633039104418939,0.7807733685252868,0.04652234470775043,3.3348667544724733,84.86381480769231,56.579747000000005,88.1196648711463,3.646006,304.844483,18.23076923076923,17.5,12.980932762502677,3,53,5.7659062815488875,2.8961675892857146,6.203646940470882,378226.323833,2206.459185,474,4.654977183544304,5.7659062815488875,2.8961675892857146,6.203646940470882,0.669271269555983,0.7807733685252868
House of cards,144,52,2019-09-19 10:29:29.895732+00:00,2019-09-19 11:22:02.888105+00:00,1.3040108492801548,1.0827168165987964,0.9244597552539049,0.06811363643175,3.3727560331378097,24.534761134615387,13.821820500000001,28.707543186083154,2.075454,117.309079,14.807692307692308,12.0,9.67316575618377,3,45,1.9924593045272956,0.9242761754385964,2.9591189928311734,3152.992373,1275.807579,770,1.6568929597402597,1.9924593045272956,0.9242761754385964,2.9591189928311734,1.3040108492801548,0.9244597552539049
House of cards,148,28,2019-09-19 10:31:43.046234+00:00,2019-09-19 15:10:56.680638+00:00,0.9433158075420883,0.5927856845800581,1.0078277842825432,0.01979801265668141,3.5559759509346436,85.1453065357143,22.610226,91.10399090940383,2.249734,263.913928,19.678571428571427,17.5,14.90973723947758,3,65,6.377348320894236,1.7175438958333333,10.781501679672314,16753.634404,2384.068583,551,4.326803235934665,6.377348320894236,1.7175438958333333,10.781501679672314,0.9433158075420883,1.0078277842825432
