Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1239,16.465293552535677,1.0741925185090133e-05,3721.188558733685,0.728953727703071,182.96913709259212,2755.1759978531068,0.015344,431675.018177,18.549886,28419.454868865596,16.71589991928975,1,163,13.0,13.719730870641566,164.82367154362413
Junior hacker,1662,1.8980771426132803,2.5903284536479226e-05,64.0,1.0,3.339941914073921,602.0595667870036,1.0,270236.0,13.5,9383.012665887309,20.499398315282793,1,96,13.0,20.37430443955657,29.369621367772233
Junior hacker adaptive,4093,114.43423129408345,0.0013138489533550777,55000.0,0.9756097560975611,1600.2440187672312,49.671049596872706,0.001,3044.49,11.943,127.66785344954192,16.05204006840948,1,97,10.0,17.292972565831963,3.0943761282172266
Kobylka 3302,3491,163.1814211699614,0.00018461759033546528,37735.84905660377,1.0,1161.670751976713,81.27452465396735,0.00032,37916.213657,15.23236,694.4399957593757,20.827270123173875,1,1049,14.0,31.632356416487173,3.9023128894619576
SQL injection,170,0.9014707761791279,0.0011034714107109557,11.946729338033686,0.37855942301113266,1.4544510096326235,239.3086176470588,1.769,4017.933,62.528,556.8261425739739,28.470588235294116,2,103,24.0,21.980942921606836,8.40546797520661
Secret laboratory,1235,25.079556927314584,5.546175170834744e-06,7000.0,0.6949834910146627,320.12290799977654,655.2992673530364,0.001,721217.754,20.414,20521.597152376653,17.464777327935224,1,754,13.0,31.49007738823694,37.52119222870787
Webmin exploit practice,814,1.0513734871710188,0.0020020273329584472,19.427608438810942,0.5855532430488322,1.5226488761937962,78.02254454176905,0.589633,2477.669623,22.810751,180.39172278529438,16.62039312039312,1,108,12.0,16.322989224190525,4.694386226402543
