Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1084,18.806015536944958,0.014174351200611723,3721.188558733685,0.9132166026478852,195.51272697985553,36.41451657656827,0.015344,413.057053,14.3158225,56.02473672038288,16.36070110701107,1,163,13.0,13.224950742076146,2.2257308130250917
Junior hacker,1457,2.1469105760652565,0.009708737864077669,64.0,1.25,3.495524094723727,24.017844886753604,1.0,229.0,10.0,33.40734208998274,20.277968428277283,1,96,13.0,20.514408344284156,1.184430529700457
Junior hacker adaptive,3635,128.8328298742632,0.007023359694343386,55000.0,1.1553214104163778,1697.547581711597,23.494567262723525,0.001,305.64,8.626,34.96844580606126,15.57936726272352,1,97,9.0,17.157096121300622,1.508056576786566
Kobylka 3302,3074,185.30316401497547,0.008446179690164285,37735.84905660377,1.2468994896571686,1236.326146111142,26.407915208848404,0.00032,736.871458,11.492990500000001,43.92898344465673,21.173715029277815,1,1049,14.0,32.73655672934232,1.2472027309488691
SQL injection,152,1.0024595969956938,0.0011034714107109557,11.946729338033686,0.46083445812137525,1.506746125735343,149.9008289473684,1.769,3624.924,48.691500000000005,397.87817164901776,28.55921052631579,2,103,24.0,21.88946753067733,5.248773554480534
Secret laboratory,1095,28.272539124530038,0.00894834567459341,7000.0,0.8578926120306823,339.85721640317,32.38558406484018,0.001,238.311,15.722894,40.51958254564198,17.261187214611873,1,754,13.0,32.70810605208255,1.8762083779165122
Webmin exploit practice,730,1.1643038832776165,0.003211660846816046,19.427608438810942,0.7014343129893532,1.5688394983864378,38.120469772602746,0.589633,311.36538,18.4558755,47.97585948575307,16.732876712328768,1,108,12.0,16.79934477455784,2.2781778906262793
