Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1084,18.806015536944958,0.014174351200611723,3721.188558733685,0.9132166026478852,195.51272697985553,36.41451657656827,0.015344,413.057053,14.3158225,56.02473672038288,16.36070110701107,1,163,13.0,13.224950742076146,2.2257308130250917
Junior hacker,1457,2.1469105760652565,0.009708737864077669,64.0,1.25,3.495524094723727,24.017844886753604,1.0,229.0,10.0,33.40734208998274,20.277968428277283,1,96,13.0,20.514408344284156,1.184430529700457
Junior hacker adaptive,3596,122.15801918685406,0.007023359694343386,55000.0,1.161522807075086,1671.9607364547142,23.17424026696329,0.001,305.64,8.546,34.364657581938694,15.598720800889877,1,97,9.0,17.154667061162336,1.485650045460218
Kobylka 3302,3004,185.6109840269743,0.009699556245301777,37735.84905660377,1.2658407192122885,1244.2539595397463,25.133091038948066,0.00032,736.871458,11.4220825,40.49603177483244,21.416777629826896,1,1049,14.0,33.056537378744714,1.1735234624626956
SQL injection,120,1.1053909380630433,0.013470190468493223,11.946729338033686,0.5169777356397793,1.5240255500296476,72.32865,1.769,519.666,43.198,83.16224106822709,31.225,2,103,33.5,22.990119361049306,2.3163698959167336
Secret laboratory,1095,28.272539124530038,0.00894834567459341,7000.0,0.8578926120306823,339.85721640317,32.38558406484018,0.001,238.311,15.722894,40.51958254564198,17.261187214611873,1,754,13.0,32.70810605208255,1.8762083779165122
Webmin exploit practice,670,1.1912082860217514,0.0101697941716035,19.427608438810942,0.740241880545192,1.6064954884873128,35.19446971044776,0.589633,243.284188,17.711848,42.60499665159455,17.12089552238806,2,108,12.0,17.2440153376946,2.055644207654084
