Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1078,18.91021651122371,0.014174351200611723,3721.188558733685,0.9171135233551992,196.05156677872614,35.288348543599255,0.015344,413.057053,14.174011,53.58408951591017,16.348794063079776,1,163,13.0,13.231067426635414,2.158467982864276
Junior hacker,1450,2.154382920440433,0.006269592476489028,64.0,1.25,3.5019704953879858,24.198620689655172,1.0,354.0,10.0,35.59883836281993,20.190344827586205,1,96,13.0,20.415245268095905,1.1985243885776746
Junior hacker adaptive,3635,132.13406783849985,0.007023359694343386,55000.0,1.1553214104163778,1717.760598367879,23.494567262723525,0.001,305.64,8.626,34.96844580606126,15.58101788170564,1,97,9.0,17.156799703579626,1.5078968165686744
Kobylka 3302,3075,189.79571234293707,0.008446179690164285,37735.84905660377,1.2464387464387465,1273.813060289956,26.437715140162602,0.00032,736.871458,11.501837,43.94220035926212,21.172032520325203,1,1049,14.0,32.731583173123646,1.248709358196117
SQL injection,152,1.0024595969956938,0.0011034714107109557,11.946729338033686,0.46083445812137525,1.506746125735343,149.9008289473684,1.769,3624.924,48.691500000000005,397.87817164901776,28.55921052631579,2,103,24.0,21.88946753067733,5.248773554480534
Secret laboratory,1095,30.099026655522714,0.010354056978375551,7000.0,0.8578926120306823,370.5861005608287,32.681102786301366,0.001,547.098,15.722894,43.01774451487779,17.2675799086758,1,754,13.0,32.70569276443766,1.892627858631267
Webmin exploit practice,730,1.1643038832776165,0.003211660846816046,19.427608438810942,0.7014343129893532,1.5688394983864378,38.12046977260274,0.589633,311.36538,18.4558755,47.97585948575306,16.732876712328768,1,108,12.0,16.799344774557838,2.278177890626279
