Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1078,18.91021651122371,0.014174351200611723,3721.188558733685,0.9171135233551992,196.05156677872614,35.288348543599255,0.015344,413.057053,14.174011,53.58408951591017,16.348794063079776,1,163,13.0,13.231067426635414,2.158467982864276
Junior hacker,1406,2.199799653086304,0.01,64.0,1.3166273584905661,3.5434881092283357,22.23968705547653,1.0,214.0,10.0,30.308969174630246,20.322190611664297,1,96,13.0,20.581286591466593,1.0943548104854233
Junior hacker adaptive,3596,125.49506034369499,0.007023359694343386,55000.0,1.161522807075086,1692.7137181221653,23.17424026696329,0.001,305.64,8.546,34.364657581938694,15.600389321468299,1,97,9.0,17.15436550150935,1.4854911495748586
Kobylka 3302,3005,186.54751590333706,0.009699556245301777,37735.84905660377,1.2655383247490664,1255.489469879113,25.16400937936772,0.00032,736.871458,11.423,40.512859533935824,21.411314475873546,1,1049,14.0,33.05272396773107,1.1752669088916865
SQL injection,120,1.1053909380630433,0.013470190468493223,11.946729338033686,0.5169777356397793,1.5240255500296476,72.32865,1.769,519.666,43.198,83.16224106822709,31.225,2,103,33.5,22.990119361049306,2.3163698959167336
Secret laboratory,1094,30.1265277815491,0.010354056978375551,7000.0,0.8588161168726244,370.75447095887375,32.2108862440585,0.001,238.311,15.7067315,40.12342791258095,17.276965265082268,1,754,13.0,32.71917550982464,1.8643833422041163
Webmin exploit practice,670,1.1912082860217514,0.0101697941716035,19.427608438810942,0.740241880545192,1.6064954884873128,35.19446971044776,0.589633,243.284188,17.711848,42.60499665159455,17.12089552238806,2,108,12.0,17.2440153376946,2.055644207654084
