Sample,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,1227,16.62632270372057,0.0005161255998843739,3721.188558733685,0.7414776413596228,183.85511417131153,174.42221002037488,0.015344,36812.744813,18.268617,1558.4228461991677,16.753056234718827,1,163,13.0,13.762379153571365,10.411366593452032
Junior hacker,1655,1.9050335129463685,0.00017752529735487306,64.0,1.0,3.3448346733595686,80.47492447129909,1.0,11266.0,13.0,392.83828659279044,20.530513595166163,1,96,13.0,20.410541664590518,3.919771616928601
Junior hacker adaptive,4093,117.36606020686457,0.0013138489533550777,55000.0,0.9756097560975611,1619.3126600472547,49.67104959687271,0.001,3044.49,11.943,127.66785344954194,16.046420718299537,1,97,10.0,17.283058198703888,3.095459758214319
Kobylka 3302,3490,167.23963928931735,0.0017314288385633066,37735.84905660377,1.0,1197.2343573678645,70.43356788252149,0.00032,8729.569633,15.2264315,268.2966032271564,20.835243553008596,1,1049,14.0,31.634721324922808,3.3805012983565974
SQL injection,170,0.9014707761791279,0.0011034714107109557,11.946729338033686,0.37855942301113266,1.4544510096326237,239.3086176470588,1.769,4017.933,62.528,556.8261425739739,28.470588235294116,2,103,24.0,21.980942921606836,8.40546797520661
Secret laboratory,1234,26.720626255824424,0.0013746157948853295,7000.0,0.6953508309541722,349.2018659628132,71.37507389059968,0.001,4670.931,20.412,202.89248614956878,17.477309562398702,1,754,13.0,31.499917798367846,4.083870783187277
Webmin exploit practice,814,1.051373487171019,0.0020020273329584472,19.427608438810942,0.5855532430488322,1.5226488761937962,78.02254454176905,0.589633,2477.669623,22.810751,180.39172278529438,16.62039312039312,1,108,12.0,16.322989224190525,4.694386226402543
